ID,floor_area_sqm,mean_resale_price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
block 1 BEDOK,87.15151515151516,338909.62385482737,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 1 BUKIT MERAH,84.14583333333333,417188.36535812676,POINT (103.8353518 1.279353),2915.0242061830572,2915.0242061830572
block 1 BUKIT TIMAH,117.78947368421052,698816.9984051037,POINT (101.4670762 1.5112818),263575.98638049024,263575.98638049024
block 1 CENTRAL AREA,62.666666666666664,419808.25396825396,POINT (146.00830092722262 -41.10814405),6335035.601953875,6335035.601953875
block 1 GEYLANG,82.29032258064517,428180.33331188885,POINT (103.8870563 1.3181862),4703.10950931338,4703.10950931338
block 1 HOUGANG,61.64,243695.54825821237,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 1 KALLANG/WHAMPOA,72.02380952380952,338001.42360753776,POINT (103.8623474 1.3302361),5037.380009865922,5037.380009865922
block 1 MARINE PARADE,120.25,721748.3552631579,POINT (103.904665 1.302774),5254.445630521953,5254.445630521953
block 1 PASIR RIS,67.625,263843.05555555556,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 1 QUEENSTOWN,66.58333333333333,333384.08801270113,POINT (103.80124205708421 1.2865399499999999),4152.557546350873,4152.557546350873
block 1 SERANGOON,67.52173913043478,305275.4129240325,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 1 TOA PAYOH,66.96153846153847,266828.8809783597,POINT (103.84165664974125 1.3336103000000001),5820.946891109513,5820.946891109513
block 1 WOODLANDS,66.91304347826087,229668.50834431266,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 10 BEDOK,96.05882352941177,478691.96521008405,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 10 BUKIT MERAH,57.083333333333336,268690.412414966,POINT (103.82831840371266 1.2704395),1834.627121338543,1834.627121338543
block 10 CENTRAL AREA,60.53846153846154,286577.858343842,POINT (146.01108627550525 -41.10890965),6335273.916280794,6335273.916280794
block 10 GEYLANG,80.18867924528301,406428.6363712938,POINT (103.8870563 1.3181862),4703.10950931338,4703.10950931338
block 10 KALLANG/WHAMPOA,106.09756097560975,502035.45161334676,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
block 10 QUEENSTOWN,88.0,474932.35454545455,POINT (103.80147131920924 1.2875922499999999),4236.463584304257,4236.463584304257
block 10 TOA PAYOH,117.0,540176.4461538461,POINT (103.8497414 1.3353906),5743.444997146924,5743.444997146924
block 10 WOODLANDS,125.1,356680.8823529412,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 100 BEDOK,72.51724137931035,294158.79543871316,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 100 KALLANG/WHAMPOA,91.0,395586.68948948954,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
block 100 QUEENSTOWN,59.625,268766.1875,POINT (103.79843785 1.3071782),6308.218549044592,6308.218549044592
block 100 TOA PAYOH,69.0,305725.96944444446,POINT (103.84914197460714 1.33722195),5955.658804997417,5955.658804997417
block 101 ANG MO KIO,115.0,494548.64835164836,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 101 BEDOK,106.42857142857143,383570.675070028,POINT (103.9101817 1.3244029),7016.56940172059,7016.56940172059
block 101 BISHAN,127.46153846153847,709633.1025641026,POINT (103.82903026932581 1.36559295),9626.362806730529,9626.362806730529
block 101 BUKIT BATOK,124.13333333333334,503670.29242424236,POINT (103.75220543614704 1.3750589),15350.579206030061,15350.579206030061
block 101 BUKIT MERAH,74.14285714285714,370079.18452380947,POINT (103.7971524501103 1.3114889),6801.785991024703,6801.785991024703
block 101 CHOA CHU KANG,142.8,513855.2083333334,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 101 CLEMENTI,115.42857142857143,624958.8235294118,POINT (103.75144769655765 1.33620005),11896.328540908782,11896.328540908782
block 101 GEYLANG,70.4375,305941.3714539007,POINT (103.8706298184074 1.3275858),4861.68583215172,4861.68583215172
block 101 HOUGANG,104.14285714285714,380901.4285714285,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 101 JURONG EAST,72.57894736842105,315478.16102318733,POINT (103.76970275789861 1.2934785500000001),7178.59571364379,7178.59571364379
block 101 PASIR RIS,146.8181818181818,589237.7435064935,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 101 QUEENSTOWN,55.375,261208.3333333333,POINT (103.76970275789861 1.2934785500000001),7178.59571364379,7178.59571364379
block 101 SERANGOON,91.42105263157895,341202.6995614035,POINT (103.88062227851341 1.3503253000000002),7577.978652850622,7577.978652850622
block 101 TAMPINES,97.5,412692.16517094016,POINT (103.93102912719868 1.35828095),11266.640206553264,11266.640206553264
block 101 TOA PAYOH,76.36842105263158,371555.2172582619,POINT (103.84165664974125 1.3336103000000001),5820.946891109513,5820.946891109513
block 101 WOODLANDS,77.78571428571429,283733.0539107951,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 101 YISHUN,72.63636363636364,257150.1019955654,POINT (103.8395409 1.438065),17125.649119290814,17125.649119290814
block 102 ANG MO KIO,116.25,517308.4107142857,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 102 BEDOK,85.96969696969697,359279.6423611111,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 102 BISHAN,128.25,743126.2083333334,POINT (103.83203356097692 1.3659908),9549.300637849754,9549.300637849754
block 102 BUKIT BATOK,126.63157894736842,468272.44999999995,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 102 BUKIT MERAH,80.6875,397497.6125874126,POINT (103.83411816933298 1.2844446),2991.8579606511175,2991.8579606511175
block 102 BUKIT PANJANG,75.72727272727273,300071.8039772727,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 102 CHOA CHU KANG,110.11111111111111,343583.6313131313,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 102 GEYLANG,70.84615384615384,325520.36342894397,POINT (103.89459637858039 1.3325653499999999),6480.1666132449545,6480.1666132449545
block 102 HOUGANG,102.88888888888889,378319.5128205129,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 102 JURONG EAST,68.0,311367.469928356,POINT (103.77035442218084 1.2935294499999999),7123.494156834656,7123.494156834656
block 102 PASIR RIS,115.22222222222223,401389.3650793651,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 102 QUEENSTOWN,60.833333333333336,267898.77878787875,POINT (103.79843785 1.3071782),6308.218549044592,6308.218549044592
block 102 TAMPINES,99.47058823529412,387211.1671826625,POINT (103.93169459451332 1.35823695),11314.499537914988,11314.499537914988
block 102 TOA PAYOH,78.0,378375.8245614035,POINT (103.84914197460714 1.33722195),5955.658804997417,5955.658804997417
block 102 WOODLANDS,73.25,281281.2165775401,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 103 ANG MO KIO,83.38461538461539,314300.53286177426,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 103 BEDOK,89.65957446808511,365058.6732540975,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 103 BISHAN,123.63636363636364,679235.3333333334,POINT (103.83203356097692 1.3659908),9549.300637849754,9549.300637849754
block 103 BUKIT BATOK,119.42857142857143,485456.86600221484,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 103 BUKIT MERAH,91.3225806451613,448038.0074831945,POINT (103.83411816933298 1.2844446),2991.8579606511175,2991.8579606511175
block 103 CHOA CHU KANG,108.77777777777777,341304.2320261438,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 103 CLEMENTI,116.33333333333333,602376.6666666667,POINT (103.77598114983843 1.3320357),9908.878813117522,9908.878813117522
block 103 HOUGANG,119.5,456199.99999999994,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 103 JURONG EAST,120.0,581330.7333333333,POINT (103.77035442218084 1.2935294499999999),7123.494156834656,7123.494156834656
block 103 KALLANG/WHAMPOA,123.34146341463415,622881.1849085366,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
block 103 PASIR RIS,111.28571428571429,406764.0342261905,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 103 SENGKANG,142.5,559222.7023809524,POINT (103.5763399 1.6834671),54292.93548373689,54292.93548373689
block 103 SERANGOON,92.23076923076923,345516.7582417582,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 103 TAMPINES,90.73333333333333,367249.2063492064,POINT (103.93169459451332 1.35823695),11314.499537914988,11314.499537914988
block 103 WOODLANDS,76.0,277600.54347826086,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 103 YISHUN,70.75,277861.99392712547,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 104 BEDOK,97.47222222222223,449444.7890772128,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 104 BUKIT MERAH,88.54166666666667,446767.47860360355,POINT (103.83411816933298 1.2844446),2991.8579606511175,2991.8579606511175
block 104 BUKIT PANJANG,80.5,287170.7200757576,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 104 CHOA CHU KANG,108.5,339041.6666666666,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 104 CLEMENTI,152.0,770821.4285714285,POINT (103.77598114983843 1.3320357),9908.878813117522,9908.878813117522
block 104 JURONG EAST,76.0,305195.3125,POINT (103.77035442218084 1.2935294499999999),7123.494156834656,7123.494156834656
block 104 PASIR RIS,113.53846153846153,408034.67112725985,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 104 SERANGOON,79.33333333333333,295263.8888888889,POINT (103.88071076652449 1.34987515),7533.190369947071,7533.190369947071
block 104 TAMPINES,90.41666666666667,344322.265625,POINT (103.93169459451332 1.35823695),11314.499537914988,11314.499537914988
block 104 TOA PAYOH,76.73913043478261,412892.6430453604,POINT (103.84914197460714 1.33722195),5955.658804997417,5955.658804997417
block 104 WOODLANDS,91.21428571428571,321893.1493506493,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 105 ANG MO KIO,92.0,379337.0916666667,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 105 BEDOK,76.6,325155.5592787115,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 105 BISHAN,74.66666666666667,391712.44736842107,POINT (103.83203356097692 1.3659908),9549.300637849754,9549.300637849754
block 105 BUKIT BATOK,105.84615384615384,414376.28125,POINT (103.75266284937962 1.3758846999999998),15403.994540802376,15403.994540802376
block 105 BUKIT MERAH,68.46666666666667,344765.25757575757,POINT (103.83411816933298 1.2844446),2991.8579606511175,2991.8579606511175
block 105 BUKIT PANJANG,73.0909090909091,290132.57575757575,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 105 CHOA CHU KANG,76.77777777777777,283401.38383838383,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 105 CLEMENTI,72.0,341446.875,POINT (103.7697051 1.3227493),9455.33148208403,9455.33148208403
block 105 GEYLANG,115.83333333333333,538085.1666666666,POINT (103.89459637858039 1.3325653499999999),6480.1666132449545,6480.1666132449545
block 105 KALLANG/WHAMPOA,117.43478260869566,550964.681654116,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
