Name,Price
"Hotel Boss, Singapore",121
YOTELAIR Singapore Changi Airport,167
"PARKROYAL COLLECTION Marina Bay, Singapore",315
"The Fullerton Hotel, Singapore	352",352
"Ibis Budget, Singapore Clarke Quay",99
"Carlton Hotel, Singapore",190
"M Social, Singapore",168
"Marina Bay Sands, Singapore",617
"The Capitol Kempinski Hotel, Singapore",421
"The Ritz-Carlton Millenia, Singapore",449
"PARKROYAL COLLECTION Pikcering, Singapore",366
"Village Hotel Bugis by Far East Hospitality, Singapore",142
"Grand Hyatt, Singapore",347
"Orchard Road, Singapore",198
"Crowne Plaza, Changi Airport, Singapore",281
"Holiday Inn Express, Clarke Quay, Singapore",201
Ramada by Wyndham Singapore at Zhongshan Park,160
Grand Mercure Singapore Roxy,155
Paradox Singapore Merchant Court at Clarke Quay,209
Travelodge Harbourfront Singapore,151
Ibis Singapore on Bencoolen,135
Oasia Hotel downtown Singapore,237
"Capri by Fraser Changi City, Singapore",194
"Ibis Budget, Singapore Imperial",99
"Goodwood Park Hotel, Singapore",288
"Hotel Chancellor Orchard, Singapore",94
Holiday Inn Singapore Little India,191
Ibis Budget Singapore Selegie,107
"Ambassador Transit Hotel, Terminal 3, Singapore",209
V Lavendar Singapore,114
Quincy Hotel Singapore,284
"Village Hotel Katong, Singapore",138
"Hotel 81 Orchid, Singapore",58
"Swisshotel, The Stamford, Singapore",324
"Village Hotel Albert Court, Singapore",128
Days Hotel by Wyndham Singapore at Zhongshan Park,145
The Clan Hotel Singapore,297
"Carlton City Hotel, Singapore	",233
"Resorts World Sentosa - Hard Rock Hotel, Singapore",261
Holiday Inn Express Singapore Orchard Road,273
"Riverside Robertson Quay, Singapore",144
Regent Singapore,269
Holiday Inn Express Singapore Serangoon,194
Hilton Singapore Orchard,339
SO/Sofitel Singapore,335
"Oxford Hotel, Singapore",68
JW Marriott Hotel Singapore South Beach,355
"Value Hotel Thomson, Singapore ",68
W Singapore Sentosa Cove,659
"York Hotel, Singapore",162
"V Hotel Bencoon, Singapore",115
"Orchard Rendezvous Hotel, Singapore",237
"PARKROYAL on Beach Road, Singapore",183
"Silso Beach Resort - Sentosa, Singapore",182
"AM Hotel, Singapore",47
InterContinental Singapore,354
"Hotel Classic by Venue, Singapore",66
"The Sultan, Singapore",105
"Summer View Hotel, Singapore",91
"Ibis Singapore, Novena",128
"Resorts World Sentosa - Hotel Michael, Singapore",218
"Four Points by Sheraton Singapore, Riverview",289
The St Regis Singapore,482
"Hotel 81 Gold, Singapore",51
"Resorts World Sentosa, Equarius Hotel, Singapore",320
"The Fullerton Bay Hotel, Singapore",583
"Hotel 81 Premier Star, Hotel",58
"Mandiran Oriental, Singapore",525
"JEN Singapore Orchardgateway by Shangri-La, Singapore",237
Orchard Hotel Singapore,229
Four Seasons Hotel Singapore,406
Lloyd's Inn Singapore,169
Iyf Singapore by Ascott,152
30 Bencoolen Singapore,190
"YMCA One Orchard, Singapore",106
"The quay Hotel, Singapore",123
"One 15 Marina Sentosa Cove, Singapore",260
"Royal Plaza on Scotts, Singapore",298
"Value Hotel Balestier, Singapore",58
"RedDoorz Geylang, Singapore",51
"Genting Hotel Jurong, Singapore",135
"Hotel 81 Changi, Singapore",53
"Hotel G, Singapore",162
"Hotel Traveltine, Singapore",190
Courtyard by Marriott Singapore Novena,363
Pan Pacific Singapore,339
"The Barracks Hotel Sentosa, Singapore",601
"Broadway Hotel, Singapore",60
Copthorne King's Hotel Singapore on Havelock,156
"Orchid Hotel, Singapore",195
"Hotel 81 Rochor, Singapore",64
"Hotel 81 Heritage, Singapore",71
Shearton Towers Singapore Hotel,338
"Hotel 81 Bugis, Singapore",78
"Hotel Grand Central, Singapore",106
"AMOY, Singapore",219
"J8 Hotel, Singapore",94
"Venue Hotel The Lily, Singapore",70
"One Farrer Hotel, Singapore",229
"Hotel 81 Premier Hollywood, Singapore",54
"Hotel 81 Sakura, Singapore",51
Hilton Garden Inn Singapore Serangoon,183
"Dickson, Singapore",61
"Hotel 81 Chinatown, Singapore",86
"CapsulePod:Aljunied, Geylang, Singapore",39
"Value Htel Nice, Singapore",55
"Studio M Hotel, Singapore",149
"Capri By Fraser, China Square, Singapore",246
Sofitel Singapore Sentosa Resort and Spa,408
"Hotel NuVe Heritage, Singapore",148
"Venue Hotel, Singapore",70
Doresett Singapore,145
"Hotel 81 Cosy, Signapore",64
"Amara Sanctuary Resort Sentosa, Singapore",281
voco Orchard Singapore,229
"five/6 Hotel Splendour, Singapore",84
"Naumi Hotel, Singapore",322
"Shangri-la Rasa Sentosa, Singapore",347
Fairpoint Singapore,324
"Hotel 81 Tristar, Singapore",78
"Hotel 1888, Singapore",103
"Spacepod@lavender, Singapore",42
Capella Singapore,889
"Reset Bugis Hotel, Singapore",109
Amara Singapore,201
"Shangri-la, Orchard, Singapore",237
"Park Regis, Singapore",190
"Ann Siang House, the unlimited Collection by Oakwood, Singapore",240
"Pan Pacific Serviced Suites Beach Road, Singapore",283
The Scarlet Singapore,162
Ibis Budget Singapore Bugis,91
Wink Capsule Hotel Chinatown Singapore,63
"Hotel Fort Canning, Singapore",234
"Grand Park City, Singapore",270
D'Hotel Singapore,144
Concorde Hotel Singapore,151
"JEN Singapore Tanglin by Shangri-La, Singapore",129
Metropolitan YMCA Singapore,135
"Champion Hotel City, Singapore",96
"Hotel Clover 5 HongKong Street, Singapore",95
"Wanderlust, The Unlimited Collection by Oakwood, Singapore",229
Ibis Styles Singapore on Machpherson,90
"YaJu Hotel, Singapore",58
The Vagabond Club A Tribute Portfolio Hotel Singapore,353
Link Hotel Singapore,118
"Hotel 81 Geylang, Singapore",50
Bliss Hotel Singapore,109
"D'Resort @ Downtown East, Singapore",93
"Hotel Royal @ Queens, Singapore",124
Ibis Budget Signapore Joo Chiat,75
Villa Samadhi Singapore bu Samadhi,388
Galaxy Pods Capsule Hotel Boat Quay,59
Hotel Bencoolen Singapore,118
"The Snooze Hotel Marine Parade, Singapore",68
"Wink Capsule Hotel Downtown, Singapore",62
"Robertson Quay Hotel, Singapore",92
"Aqueen Hotel Paya Lebar, Singapore",108
"Citadines Rochor, Singapore",180
"Holdiay Inn Singapore Orchard City Centre, Singapore",240
"Hotel 81 Selegie, Singapore",57
The Westin Singapore,513
"Hotel 81 Balestier, Singapore",57
"Spacedpod Kallang, Singapore",37
"Furama City Centre, Singapore",131
"Hotel 81 Palace, Singapore",50
"Campbell Inn, Singapore",37
"Hotel Grand Pacific, Singapore",117
"Park Hotel Alexandra, Singapore",129
"Hotel Mono, Singapore",95
"Q Loft Hotels @ Bedok, Singapore",92
"Hotel Royal Clean, Singapore",146
Singapore Marriott Tang Plaza Hotel,449
"Hotel Clover 769 North Bridge Road, Singapore",81
"Maxwell Reserve Singapore, Autograph Collection",444
"Hotel 81 Oasaka, Singapore",78
"Hotel Yan, Singapore",134
Andaz Singapore - A concept by Hyatt,471
Ibis Budget Singapore Ruby,66
"Galaxy pod Chinatown, Singapore",50
"InterContiental Singapore Robertson Quay, an IHG Hotel",289
"Lion Peak Hotel Purvis, Singapore",122
"Spacepod @ hive, Lavendar, Singapore",42
Ibis Budget Singapore Emerald,72
"Hotel Clover The Arts, Singapore",95
"Lion Peak Hotel Bugis, Singapore",74
"Hotel 1929, Singapore",74
"Park View Hotel, Bugis, Singapore",91
"Porcelain Hotel by JL Asia, Singapore",99
"Backpacker Cozy Corner Guesthouse, Singapore",43
"Strand Hotel, Singapore",125
"Orchid Country Club, Singapore",156
"Hotel 81 Elegance, Singapore",64
"Hotel NuVe Stellar, Singapore",116
"Hotel 81 Lucky, Singapore",47
"Champion Hotel, Katong, Singapore",78
"Hotel NuVe Elements, Singapore",135
"Oasia Reosrt Sentosa, Singapore",348
"Grand Copthorne Waterfront, Singapore",172
"New Cape Inn, Singapore",99
Hotel 81 Kovan,64
"Shipping Container Hotel at Haw Par Villa, Singapore",169
Hotel Calmo Bugis,74
"Philip Hotel, Little India, Singapore",103
Hotel Soloha Chinatown Singapore,118
"CBE Family Boutique Capsule Hotel, Chinatown, Singapore",81
"Hotel Bencoolen Hong Kong Street, Singapore",146
"The Great Madras by Hotel Calmo, Singapore",87
"Arcadia Hotel, Singapore",127
"MET A Space Pod at Arab Street, Singapore",67
"Park Avenue Rochester, Singapore",131
"Ibis Budget, Queenstown, Singapore",114
"Arianna Hotel, Little India, Singapore",51
Oakwood Premier AMTD Singapore,253
"The quat Hotel Lavender, Singapore",101
"Lion Peak Hotel Raffles, Singapore",78
"The Southbridge Hotel, Singapore",108
"The Daulatby Hotel Calmo, Singapore",109
"Perak Hotel, singapore",127
