Name,Price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
"Hotel Boss, Singapore",121,POINT (103.86010483479143 1.3057925),2334.4266273750977,2334.4266273750977
YOTELAIR Singapore Changi Airport,167,POINT (103.99052786445455 1.3598822),16640.52840143268,16640.52840143268
"PARKROYAL COLLECTION Marina Bay, Singapore",315,POINT (103.8568156522325 1.29161),894.7996596892658,894.7996596892658
"The Fullerton Hotel, Singapore	352",352,POINT (103.85307262998235 1.28620185),897.7436129928507,897.7436129928507
"Carlton Hotel, Singapore",190,POINT (103.8525915 1.2957221),1536.5883123182164,1536.5883123182164
"Marina Bay Sands, Singapore",617,POINT (103.8607226 1.2836965),115.17652294717618,115.17652294717618
"The Capitol Kempinski Hotel, Singapore",421,POINT (103.85089729886612 1.2939908500000001),1523.0123594889678,1523.0123594889678
"The Ritz-Carlton Millenia, Singapore",449,POINT (103.8600739 1.2905344),653.3189468921263,653.3189468921263
"Grand Hyatt, Singapore",347,POINT (103.8332833 1.3063453),3904.2798089985927,3904.2798089985927
"Orchard Road, Singapore",198,POINT (103.8419492 1.3003426),2736.236274463384,2736.236274463384
"Crowne Plaza, Changi Airport, Singapore",281,POINT (103.9879472 1.3586803),16325.367751859407,16325.367751859407
"Holiday Inn Express, Clarke Quay, Singapore",201,POINT (103.84198639474977 1.2890731500000001),2170.6030403474406,2170.6030403474406
Paradox Singapore Merchant Court at Clarke Quay,209,POINT (103.84590300176538 1.2884396),1730.3051319748333,1730.3051319748333
Travelodge Harbourfront Singapore,151,POINT (103.82392137076314 1.2662838),1248.1220480199213,1248.1220480199213
Ibis Singapore on Bencoolen,135,POINT (103.8526305 1.3015435),2082.3997893787173,2082.3997893787173
Oasia Hotel downtown Singapore,237,POINT (103.84434021503975 1.27587275),2095.32780691929,2095.32780691929
"Goodwood Park Hotel, Singapore",288,POINT (103.8341091 1.3082222),3965.020205895451,3965.020205895451
"Hotel Chancellor Orchard, Singapore",94,POINT (103.8419319 1.3014599),2817.411115103001,2817.411115103001
Holiday Inn Singapore Little India,191,POINT (103.8548273 1.3119831),3094.051327886072,3094.051327886072
Ibis Budget Singapore Selegie,107,POINT (103.84999015337985 1.3037815),2439.9140955489047,2439.9140955489047
Quincy Hotel Singapore,284,POINT (103.83578338472938 1.30772825),3789.417233951898,3789.417233951898
"Village Hotel Katong, Singapore",138,POINT (103.90299495 1.3036189999999999),5120.5008272657815,5120.5008272657815
"Hotel 81 Orchid, Singapore",58,POINT (103.8772777 1.3111912),3444.1730942870663,3444.1730942870663
"Village Hotel Albert Court, Singapore",128,POINT (103.8507167 1.3039026),2412.1055899955313,2412.1055899955313
The Clan Hotel Singapore,297,POINT (103.84825189467912 1.2826274500000001),1437.148694113843,1437.148694113843
"Carlton City Hotel, Singapore	",233,POINT (103.84372714956754 1.2760231499999999),2148.4581884811414,2148.4581884811414
