,Name,Price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Traffic lights within 500 meters,Parking lots within 500 meters
0,"Hotel Boss, Singapore",121,2334.4266273750977,2334.4266273750977,POINT (103.86010483479143 1.3057925),1,1421
1,YOTELAIR Singapore Changi Airport,167,16640.52840143268,16640.52840143268,POINT (103.99052786445455 1.3598822),0,0
2,"PARKROYAL COLLECTION Marina Bay, Singapore",315,894.7996596892658,894.7996596892658,POINT (103.8568156522325 1.29161),0,0
3,"The Fullerton Hotel, Singapore	352",352,897.7436129928507,897.7436129928507,POINT (103.85307262998235 1.28620185),0,125
4,"Carlton Hotel, Singapore",190,1536.5883123182164,1536.5883123182164,POINT (103.8525915 1.2957221),1,424
5,"Marina Bay Sands, Singapore",617,115.17652294717618,115.17652294717618,POINT (103.8607226 1.2836965),0,0
6,"The Capitol Kempinski Hotel, Singapore",421,1523.0123594889678,1523.0123594889678,POINT (103.85089729886612 1.2939908500000001),1,109
7,"The Ritz-Carlton Millenia, Singapore",449,653.3189468921263,653.3189468921263,POINT (103.8600739 1.2905344),0,64
8,"Grand Hyatt, Singapore",347,3904.2798089985927,3904.2798089985927,POINT (103.8332833 1.3063453),0,445
9,"Orchard Road, Singapore",198,2736.236274463384,2736.236274463384,POINT (103.8419492 1.3003426),1,233
10,"Crowne Plaza, Changi Airport, Singapore",281,16325.367751859409,16325.367751859409,POINT (103.9879472 1.3586803),0,0
11,"Holiday Inn Express, Clarke Quay, Singapore",201,2170.6030403474406,2170.6030403474406,POINT (103.84198639474977 1.2890731500000001),0,139
12,Paradox Singapore Merchant Court at Clarke Quay,209,1730.305131974833,1730.305131974833,POINT (103.84590300176538 1.2884396),0,461
13,Travelodge Harbourfront Singapore,151,1248.1220480199213,1248.1220480199213,POINT (103.82392137076314 1.2662838),0,658
14,Ibis Singapore on Bencoolen,135,2082.3997893787173,2082.3997893787173,POINT (103.8526305 1.3015435),2,1063
