,ID,floor_area_sqm,mean_resale_price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Closest distance to a hotel,Closest distance to a park,Traffic lights within 500 meters,Parking lots within 500 meters
0,block 1 BEDOK,87.15151515151516,338909.62385482737,9057.217152985671,9057.217152985671,POINT (103.9314714 1.3256702),1853.18802415568,799.6053700989594,1,0
1,block 1 BUKIT MERAH,84.14583333333333,417188.3653581268,2915.024206183057,2915.024206183057,POINT (103.8353518 1.279353),498.7472366701182,573.9934074531296,0,300
2,block 1 BUKIT TIMAH,117.78947368421052,698816.9984051037,263575.98638049024,263575.98638049024,POINT (101.4670762 1.5112818),253640.57213193268,248446.00543563213,0,0
3,block 1 CENTRAL AREA,62.66666666666666,419808.253968254,6335035.601953875,6335035.601953875,POINT (146.00830092722262 -41.10814405),6332915.061501636,6330579.003407245,0,0
4,block 1 GEYLANG,82.29032258064517,428180.33331188885,4703.10950931338,4703.10950931338,POINT (103.8870563 1.3181862),422.920243142269,402.13140927055673,1,412
5,block 1 HOUGANG,61.64,243695.5482582124,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
6,block 1 KALLANG/WHAMPOA,72.02380952380952,338001.42360753776,5037.380009865922,5037.380009865922,POINT (103.8623474 1.3302361),1396.711551653625,810.0513911776123,0,0
7,block 1 MARINE PARADE,120.25,721748.3552631579,5254.445630521953,5254.445630521953,POINT (103.904665 1.302774),208.02567314987863,451.64683706976643,1,144
8,block 1 PASIR RIS,67.625,263843.0555555556,13353.959876046514,13353.959876046514,POINT (103.94350777946352 1.372388),1530.4523475214967,269.5155674069476,0,0
9,block 1 QUEENSTOWN,66.58333333333333,333384.08801270113,4152.557546350873,4152.557546350873,POINT (103.80124205708421 1.2865399499999999),463.6270616771752,838.2180919452259,0,90
10,block 1 SERANGOON,67.52173913043478,305275.4129240325,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
11,block 1 TOA PAYOH,66.96153846153847,266828.8809783597,5820.946891109513,5820.946891109513,POINT (103.84165664974125 1.3336103000000001),745.2850359014839,778.2192381026905,0,66
12,block 1 WOODLANDS,66.91304347826087,229668.50834431264,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
13,block 10 BEDOK,96.05882352941175,478691.9652100841,9057.217152985671,9057.217152985671,POINT (103.9314714 1.3256702),1853.18802415568,799.6053700989594,1,0
14,block 10 BUKIT MERAH,57.083333333333336,268690.412414966,1834.627121338543,1834.627121338543,POINT (103.82831840371266 1.2704395),248.7778970666255,1244.6646066973003,0,0
15,block 10 CENTRAL AREA,60.53846153846154,286577.858343842,6335273.916280794,6335273.916280794,POINT (146.01108627550525 -41.10890965),6333153.432561287,6330817.412471384,0,0
16,block 10 GEYLANG,80.18867924528301,406428.6363712938,4703.10950931338,4703.10950931338,POINT (103.8870563 1.3181862),422.920243142269,402.13140927055673,1,412
17,block 10 KALLANG/WHAMPOA,106.09756097560977,502035.4516133468,4502.24597112861,4502.24597112861,POINT (103.8663299 1.3250618),1443.4687309170426,149.38617702407808,0,142
18,block 10 QUEENSTOWN,88.0,474932.35454545455,4236.463584304257,4236.463584304257,POINT (103.80147131920924 1.2875922499999999),425.1606351023242,931.5871617894511,0,90
19,block 10 TOA PAYOH,117.0,540176.4461538461,5743.444997146924,5743.444997146924,POINT (103.8497414 1.3353906),1053.5212691663721,567.364900852594,0,0
20,block 10 WOODLANDS,125.1,356680.8823529412,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
21,block 100 BEDOK,72.51724137931035,294158.7954387132,7096.946860014165,7096.946860014165,POINT (103.9110728 1.324443),638.2815923398671,375.6446512389534,0,9
22,block 100 KALLANG/WHAMPOA,91.0,395586.6894894896,4502.24597112861,4502.24597112861,POINT (103.8663299 1.3250618),1443.4687309170426,149.38617702407808,0,142
23,block 100 QUEENSTOWN,59.625,268766.1875,6308.218549044592,6308.218549044592,POINT (103.79843785 1.3071782),1087.1034494054304,597.5345150854171,1,194
24,block 100 TOA PAYOH,69.0,305725.96944444446,5955.658804997417,5955.658804997417,POINT (103.84914197460714 1.33722195),1257.0670580076555,745.9638754480519,0,0
25,block 101 ANG MO KIO,115.0,494548.6483516484,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
26,block 101 BEDOK,106.42857142857144,383570.675070028,7016.56940172059,7016.56940172059,POINT (103.9101817 1.3244029),651.5486029857965,474.3405100721429,0,7
27,block 101 BISHAN,127.46153846153848,709633.1025641026,9626.362806730527,9626.362806730527,POINT (103.82903026932581 1.36559295),3476.8964086441274,402.81198530142524,1,17
28,block 101 BUKIT BATOK,124.13333333333334,503670.2924242424,15350.57920603006,15350.57920603006,POINT (103.75220543614704 1.3750589),5020.855672930695,307.66647126975414,1,0
29,block 101 BUKIT MERAH,74.14285714285714,370079.1845238095,6801.785991024703,6801.785991024703,POINT (103.7971524501103 1.3114889),1161.0466515644196,180.9800508081328,1,516
30,block 101 CHOA CHU KANG,142.8,513855.2083333334,18285.99136391172,18285.99136391172,POINT (103.7445 1.401318),7735.323339091603,1416.035097612029,0,21
31,block 101 CLEMENTI,115.42857142857144,624958.8235294118,11896.328540908782,11896.328540908782,POINT (103.75144769655765 1.33620005),1450.1391868740359,1126.3183833750836,0,5
32,block 101 GEYLANG,70.4375,305941.3714539007,4861.68583215172,4861.68583215172,POINT (103.8706298184074 1.3275858),1708.2981574466685,358.1732391614532,1,303
